,amp,batch_size,bss_reg,clip_grad,cotuning_reg,cutmix,decay_epochs,decay_rate,delta_reg,drop,layer_decay,linear_probing,lr,mixup,mixup_prob,model,momentum,opt,patience_epochs,pct_to_freeze,ra_magnitude,ra_num_ops,sched,smoothing,sp_reg,stoch_norm,warmup_epochs,warmup_lr,weight_decay,data_augmentation,opt_betas,auto_augment
20504694441440520,False,2,0.0,,0.5,0.1,0.0,0.1,0.0,0.0,,False,0.005,0.0,0.0,beit_base_patch16_384,0.9,sgd,10,1.0,9,3,cosine,0.1,0.0001,True,5,0.0,0.0001,random_augment,,
9807960688271499,True,4,0.001,1.0,0.5,0.25,0.0,0.1,0.01,0.0,0.65,False,1e-05,2.0,0.25,deit3_small_patch16_384_in21ft1k,0.9,adamw,10,0.0,8,2,cosine,0.1,0.01,False,10,0.0,0.01,none,"(0.0, 0.99)",
15314844028951064,False,4,0.1,1.0,0.0,0.0,0.0,0.1,0.0,0.3,0.75,True,0.0005,0.4,0.0,dla46x_c,0.9,adamw,10,1.0,9,2,cosine,0.1,0.0,False,0,1e-06,0.0,random_augment,"(0.0, 0.99)",
71707164140800161,True,32,0.1,10.0,0.0,0.1,10.0,0.5,0.1,0.1,0.75,False,0.001,2.0,0.75,tf_efficientnet_b4_ns,0.9,sgd,10,0.8,8,2,multistep,0.05,0.1,True,0,0.0,0.0,auto_augment,,original
172605606553161033,True,256,0.0001,10.0,0.5,0.0,20.0,0.5,0.1,0.4,,True,0.0005,0.0,0.25,edgenext_xx_small,0.9,adamp,10,0.0,8,2,multistep,0.1,0.1,False,5,1e-05,0.01,none,"(0.0, 0.99)",
43856137021585608,False,2,0.0001,10.0,2.0,0.1,20.0,0.1,0.0001,0.4,,False,0.005,0.0,0.5,edgenext_x_small,0.8,momentum,10,1.0,8,2,step,0.0,0.01,False,5,1e-06,0.001,trivial_augment,,
48321047954876768,False,32,0.0,1.0,0.5,0.5,0.0,0.1,0.0,0.1,0.75,True,0.0001,0.0,0.0,dla46x_c,0.9,adamw,10,1.0,8,2,cosine,0.1,0.0,False,5,1e-05,0.0,auto_augment,"(0.0, 0.99)",original
1875017784898632,False,128,0.0,1.0,4.0,0.5,0.0,0.1,0.01,0.0,0.75,False,5e-05,0.2,0.0,dla46x_c,0.9,adamp,2,0.6,8,2,plateau,0.1,0.1,False,0,1e-06,0.01,none,"(0.9, 0.999)",
11398896931087716,False,16,0.0,1.0,0.5,0.1,0.0,0.1,0.0,0.4,0.65,True,0.001,2.0,0.0,xcit_tiny_12_p8_384_dist,0.9,adam,10,0.8,8,2,cosine,0.1,0.1,True,0,1e-06,0.001,none,"(0.0, 0.99)",
3943703261081846,False,4,0.01,,1.0,2.0,10.0,0.1,0.001,0.0,,False,0.01,0.2,0.75,mobilevit_xs,0.9,adamw,10,1.0,9,2,step,0.1,0.001,False,10,1e-05,0.001,random_augment,"(0.9, 0.999)",
610468141912184026,False,64,0.001,,4.0,1.0,20.0,0.5,0.001,0.2,,True,1e-05,2.0,0.75,mobilevit_xs,0.95,momentum,10,0.4,17,3,multistep,0.0,0.0,False,5,0.0,0.001,random_augment,,
16406771594585499,True,32,0.0,,1.0,0.25,10.0,0.5,0.0001,0.0,,True,0.01,4.0,0.0,xcit_tiny_12_p8_384_dist,0.9,sgd,10,0.8,8,2,multistep,0.05,0.01,False,5,0.0,0.1,trivial_augment,,
36981426032447873,True,8,0.0001,10.0,0.5,0.0,0.0,0.1,0.01,0.1,0.65,False,5e-05,0.4,1.0,beit_base_patch16_384,0.9,adamp,5,0.4,8,2,plateau,0.1,0.1,False,0,1e-06,0.0001,none,"(0.9, 0.999)",
241360199524743726,False,128,0.01,,2.0,0.1,0.0,0.1,0.001,0.3,,False,1e-05,0.4,0.25,dla46x_c,0.9,adamp,5,0.8,17,3,plateau,0.05,0.001,True,0,1e-05,1e-05,random_augment,"(0.0, 0.99)",
31879499823621417,True,4,0.01,,2.0,1.0,20.0,0.1,0.0001,0.1,0.75,False,0.0001,0.4,0.5,beit_base_patch16_384,0.9,sgd,10,0.6,8,2,multistep,0.1,0.1,False,10,1e-06,0.0,none,,
32903956271222321,True,8,0.001,10.0,0.0,4.0,10.0,0.1,0.0,0.1,0.75,True,0.0005,0.4,0.5,volo_d4_448,0.9,adamw,10,0.8,8,2,step,0.0,0.01,False,0,1e-06,0.1,none,"(0.0, 0.99)",
229117021390436486,False,256,0.1,,0.0,0.5,20.0,0.1,0.0,0.1,0.75,True,0.005,4.0,1.0,xcit_tiny_12_p8_384_dist,0.9,adamw,10,1.0,8,2,multistep,0.05,0.0001,False,0,1e-05,0.01,auto_augment,"(0.9, 0.99)",v0
7459198860207711,True,4,0.0001,10.0,2.0,0.25,10.0,0.1,0.0,0.1,,True,0.005,1.0,0.75,edgenext_xx_small,0.9,adamw,10,0.8,8,2,step,0.0,0.001,True,5,1e-06,0.0,none,"(0.9, 0.999)",
431109092737407541,True,128,0.0001,10.0,4.0,0.1,20.0,0.1,0.0,0.4,,False,0.0005,0.0,1.0,mobilevitv2_075,0.95,momentum,10,0.0,9,3,multistep,0.0,0.0,True,10,0.0,0.01,random_augment,,
26869941578572375,True,128,0.1,1.0,0.0,1.0,0.0,0.1,0.0001,0.1,0.65,True,0.0001,1.0,0.5,xcit_nano_12_p8_384_dist,0.95,momentum,2,1.0,8,2,plateau,0.1,0.0,False,10,1e-05,0.01,none,,
599760443141792971,True,16,0.01,,2.0,0.0,10.0,0.5,0.1,0.3,0.65,False,0.005,4.0,0.75,volo_d3_448,0.95,momentum,10,0.8,17,3,step,0.05,0.0001,True,5,0.0,0.1,random_augment,,
18325372658686632,False,2,0.1,,2.0,0.0,0.0,0.1,0.01,0.1,0.65,False,0.01,0.4,0.25,mobilevit_xs,0.9,adam,10,1.0,8,2,cosine,0.05,0.0001,False,10,1e-06,0.01,auto_augment,"(0.9, 0.999)",original
43350626258447621,True,8,0.001,1.0,1.0,2.0,20.0,0.1,0.1,0.1,0.65,True,0.001,0.4,0.0,convnext_small_384_in22ft1k,0.9,adamp,10,0.4,8,2,step,0.05,0.1,True,0,0.0,0.001,none,"(0.0, 0.99)",
21635514092957998,False,8,0.01,,1.0,0.1,0.0,0.1,0.001,0.4,0.75,True,1e-05,1.0,0.0,volo_d1_384,0.9,adamw,10,0.4,8,2,cosine,0.0,0.001,False,0,0.0,1e-05,trivial_augment,"(0.9, 0.99)",
19245613521607337,True,64,0.001,,1.0,0.25,0.0,0.1,0.001,0.1,,False,1e-05,2.0,0.0,edgenext_xx_small,0.9,adamp,10,1.0,8,2,cosine,0.1,0.001,False,10,0.0,0.001,trivial_augment,"(0.9, 0.99)",
26650239582802536,False,2,0.001,10.0,0.5,0.25,0.0,0.1,0.0,0.4,0.65,False,0.01,0.0,1.0,edgenext_xx_small,0.8,momentum,10,0.2,8,2,cosine,0.05,0.0001,True,0,1e-05,0.01,none,,
65836920050636481,True,32,0.1,10.0,0.5,0.1,0.0,0.1,0.001,0.1,0.75,False,1e-05,0.0,0.5,convnext_small_384_in22ft1k,0.95,momentum,5,0.6,8,2,plateau,0.0,0.01,True,0,1e-05,0.1,none,,
80991978207939583,True,16,0.001,1.0,0.0,4.0,0.0,0.1,0.0,0.2,,True,0.001,1.0,0.25,xcit_tiny_12_p8_384_dist,0.9,adam,10,0.8,8,2,cosine,0.05,0.01,True,10,1e-05,0.0,none,"(0.0, 0.999)",
