,num_samples,num_classes
20504694441440520,83021,26
3943703261081846,83021,26
241360199524743726,83021,26
22176294145196426,83021,26
22448212849937845,83021,26
22333045382683851,83021,26
16953893331647455,83021,26
73829539555000502,83021,26
16363663977472389,83021,26
35027679343173428,83021,26
31089374905428338,83021,26
65770475282502030,83021,26
39627437468135590,83021,26
362066015493133198,83021,26
9391625470074939,83021,26
20290420651047610,83021,26
13722874528916286,83021,26
4794119612852028,83021,26
179881443890252883,83021,26
6001494267033190,83021,26
146030151877132968,83021,26
82156932995205374,83021,26
237362276411537412,83021,26
27654062335632821,83021,26
132774777755898930,83021,26
22555136763483899,83021,26
6421469694058491,83021,26
113811947998624588,83021,26
238997504279164976,83021,26
31402684853620507,83021,26
438345620387815117,83021,26
487929845962077308,83021,26
2637034712327252,83021,26
31170285456273867,83021,26
23429359728544459,83021,26
365431048244228,83021,26
1760508760076587,83021,26
40350380768702549,83021,26
62209492742946396,83021,26
43617742992264083,83021,26
93209843956533499,83021,26
456014470538412290,83021,26
69062934443240179,83021,26
77931604254360417,83021,26
5281551388204080,83021,26
9404612796214773,83021,26
23085688683393488,83021,26
24402950379490290,83021,26
430884454159928200,83021,26
20728492055843957,83021,26
18690242054747533,83021,26
14076560528499350,83021,26
112994152672424652,83021,26
77403848890676082,83021,26
145796811026961349,83021,26
39264268986276616,83021,26
61199270426593262,83021,26
19165201147953929,83021,26
41396759597661163,83021,26
483458603148955430,83021,26
3820479209045707,83021,26
4940941619395658,83021,26
44607322513008189,83021,26
10288561780911140,83021,26
80412933494619871,83021,26
3772394742783512,83021,26
48244021789727295,83021,26
121534627056996567,83021,26
59960667713035280,83021,26
7713287752325677,83021,26
66791330003682288,83021,26
3484182528727311,83021,26
108157757049862975,83021,26
17163575348551204,83021,26
102487424547385841,83021,26
57806753145923701,83021,26
103462854312936010,83021,26
57886338119268141,83021,26
167700777555707920,83021,26
108231270609508269,83021,26
4040253094494024,83021,26
27983443680561264,83021,26
34863348665998952,83021,26
2850218977728031,83021,26
7872455865783015,83021,26
7417855021015490,83021,26
4330013565667400,83021,26
26766093433477360,83021,26
370828638010780347,83021,26
33513814437272104,83021,26
11437947111136156,83021,26
19080150657054669,83021,26
10788417221903471,83021,26
200069869664104791,83021,26
20555342280616617,83021,26
199695989703079301,83021,26
20933179454489135,83021,26
165861148591595745,83021,26
19047973785921465,83021,26
28602035936738808,83021,26
1651834602958939,83021,26
235492758405208952,83021,26
129584953263735982,83021,26
146349237663680169,83021,26
2231942178431444,83021,26
122280282544507516,83021,26
20044547269455623,83021,26
27012059511680513,83021,26
26374480034585713,83021,26
25271585742968735,83021,26
24550737050881453,83021,26
27166909514986336,83021,26
41737767589853551,83021,26
4876072376815434,83021,26
89579735558903910,83021,26
35017225155671652,83021,26
17381618467976701,83021,26
3392576005635224,83021,26
92397006571564694,83021,26
17014596414923617,83021,26
47759877947161153,83021,26
44563329084231980,83021,26
82023296085300519,83021,26
2325626643318297,83021,26
157363369622513778,83021,26
19635656534809807,83021,26
96930977930262661,83021,26
12877445362336515,83021,26
10091952188143744,83021,26
7358060581383766,83021,26
142467173860279747,83021,26
192158873552103092,83021,26
20419198263469310,83021,26
294122406935122445,83021,26
10208715206400496,83021,26
29007304100265970,83021,26
45206122763630746,83021,26
