,amp,batch_size,bss_reg,clip_grad,cotuning_reg,cutmix,decay_epochs,decay_rate,delta_reg,drop,layer_decay,linear_probing,lr,mixup,mixup_prob,model,momentum,opt,patience_epochs,pct_to_freeze,ra_magnitude,ra_num_ops,sched,smoothing,sp_reg,stoch_norm,warmup_epochs,warmup_lr,weight_decay,opt_betas,data_augmentation,auto_augment
345222972187152031,True,2,0.0,10.0,0.0,4.0,10.0,0.5,0.01,0.3,0.65,False,0.005,8.0,0.25,xcit_small_12_p8_384_dist,0.9,adam,10,0.0,8,2,multistep,0.05,0.0,False,0,1e-05,0.0001,"(0.0, 0.999)",none,
43102651017402636,False,16,0.0,1.0,1.0,1.0,0.0,0.1,0.001,0.4,0.65,False,1e-05,0.2,0.5,xcit_small_12_p8_384_dist,0.0,momentum,5,0.6,8,2,plateau,0.1,0.001,False,10,1e-05,0.01,,none,
27356381315155821,True,4,0.0001,1.0,2.0,4.0,0.0,0.1,0.0001,0.1,0.75,False,1e-05,0.4,0.25,swinv2_base_window12to24_192to384_22kft1k,0.9,adam,10,0.2,8,2,cosine,0.05,0.01,False,10,0.0,0.001,"(0.0, 0.999)",none,
88973669170742941,True,2,0.0,10.0,2.0,0.0,0.0,0.1,0.001,0.2,0.65,True,0.0001,8.0,0.5,convnext_small_384_in22ft1k,0.9,adamw,10,1.0,8,2,cosine,0.05,0.0,False,10,1e-05,0.0,"(0.0, 0.999)",auto_augment,v0
266763266168119094,False,4,0.1,1.0,4.0,0.25,10.0,0.5,0.0001,0.1,0.75,False,0.001,4.0,0.25,xcit_nano_12_p8_384_dist,0.9,adamw,10,0.0,8,2,multistep,0.1,0.0,False,10,1e-06,0.0,"(0.9, 0.99)",auto_augment,original
21983246392091035,True,16,0.1,1.0,2.0,0.5,0.0,0.1,0.0,0.4,0.65,False,5e-05,1.0,0.25,volo_d1_384,0.9,adamw,2,0.0,8,2,plateau,0.0,0.0,True,10,0.0,1e-05,"(0.9, 0.99)",none,
168205190562271,True,2,0.0,10.0,1.0,2.0,10.0,0.1,0.0001,0.3,0.75,False,0.01,8.0,1.0,swinv2_base_window12to24_192to384_22kft1k,0.9,sgd,10,0.2,8,2,multistep,0.0,0.0001,False,5,0.0,0.1,,none,
132561785599098408,False,2,0.0001,,1.0,2.0,0.0,0.1,0.1,0.4,0.75,True,0.001,0.2,0.5,volo_d5_512,0.8,momentum,10,1.0,17,3,cosine,0.1,0.0,True,5,0.0,0.001,,random_augment,
354505400471261546,False,32,0.0001,,0.5,4.0,10.0,0.5,0.0001,0.3,0.75,False,5e-05,1.0,0.5,dla46x_c,0.9,adam,10,0.8,8,2,multistep,0.0,0.1,True,5,1e-06,1e-05,"(0.0, 0.999)",auto_augment,v0
43182600551844026,False,32,0.1,,1.0,0.5,0.0,0.1,0.0,0.4,0.65,False,0.0005,1.0,0.25,deit3_small_patch16_384_in21ft1k,0.9,adamp,2,0.4,8,2,plateau,0.0,0.01,True,10,1e-05,0.01,"(0.0, 0.99)",auto_augment,original
