,num_samples,num_classes
345222972187152031,456,19
50615341238722148,456,19
55283887432744401,456,19
294298717339641819,456,19
144736143392187834,456,19
46892431787287090,456,19
80624705652681678,456,19
11867752120470166,456,19
22789741927325168,456,19
16662339208596574,456,19
57801146441732660,456,19
16126703496455461,456,19
471726319217819204,456,19
69357963598186237,456,19
57936774984049232,456,19
109483860633104040,456,19
63418917565243533,456,19
7842812135112278,456,19
7752002675748699,456,19
6208160809085086,456,19
85737362293581491,456,19
29090959227789333,456,19
53482424371245635,456,19
7188227013904142,456,19
118374992182675281,456,19
94921768384131758,456,19
18467234329667972,456,19
28798921075665767,456,19
9511947319230830,456,19
9793105592978646,456,19
2632383878679747,456,19
6225925391521215,456,19
71909733182411461,456,19
229581059648261980,456,19
1300790572247429,456,19
94553654778916875,456,19
10230238713095848,456,19
17026385896475648,456,19
133625097407040903,456,19
190364240137130594,456,19
13198020097000394,456,19
79770917207900544,456,19
194593626491108369,456,19
461780682997571650,456,19
188437552866192896,456,19
5832459478214036,456,19
17384133931472973,456,19
40772635308267757,456,19
22143460129649509,456,19
7396828625212034,456,19
29031195553631734,456,19
88059400730188117,456,19
377043153393836139,456,19
89585954411223983,456,19
251700859113926104,456,19
1856998313113918,456,19
62411666139327010,456,19
8105041344927782,456,19
129671857670917560,456,19
130656775959211818,456,19
75732331274209482,456,19
18425143119380126,456,19
5507392730047327,456,19
36124986495600513,456,19
22230899107177818,456,19
5947669352501604,456,19
3662248047950828,456,19
26838858099122448,456,19
396346612272108314,456,19
40260947128086846,456,19
11621909250883227,456,19
37451004202147980,456,19
57272728109898334,456,19
37132718295355367,456,19
421592996225086074,456,19
480183588875415730,456,19
207493369308410333,456,19
9847638392273697,456,19
290573243334487452,456,19
49626248526253498,456,19
70497243869818458,456,19
38236869579720151,456,19
113634245023065688,456,19
59669472104099187,456,19
65734733054628622,456,19
51866013712187602,456,19
86741227545813298,456,19
63085296420592636,456,19
50667850091135764,456,19
12447875998793882,456,19
419111838110904323,456,19
109398657732453384,456,19
34665460854940849,456,19
29481527163163181,456,19
40940637241540560,456,19
45210896959705634,456,19
17425647825708421,456,19
31352476896683915,456,19
28336080560505215,456,19
22938440168259391,456,19
12244073697546568,456,19
2276416530687061,456,19
136828967523362997,456,19
17844228569568845,456,19
13176267399429300,456,19
154557623922092692,456,19
26640753209413212,456,19
186489814544883159,456,19
17533608716848970,456,19
23660578091209598,456,19
2753002277309746,456,19
121165667379195936,456,19
18490258494612199,456,19
27261059891101528,456,19
136017843913446998,456,19
265932084934845722,456,19
161815212912911782,456,19
237244568830518023,456,19
136758687744547848,456,19
127726962214524020,456,19
32202006076398696,456,19
28825623615294007,456,19
40759094567563039,456,19
28322063806168158,456,19
12034442897883310,456,19
130462675065780488,456,19
95295376922868455,456,19
155962234465488280,456,19
7613109617965750,456,19
56530737139211137,456,19
226175652230195937,456,19
346368543643885613,456,19
225341577864343245,456,19
91400698872952960,456,19
89724903260494802,456,19
18745237700155003,456,19
27093581119752221,456,19
71053259545142145,456,19
40322157912456462,456,19
14892305505884770,456,19
15254763561251266,456,19
17218409501616383,456,19
