,amp,batch_size,bss_reg,clip_grad,cotuning_reg,cutmix,decay_epochs,decay_rate,delta_reg,drop,layer_decay,linear_probing,lr,mixup,mixup_prob,model,momentum,opt,patience_epochs,pct_to_freeze,ra_magnitude,ra_num_ops,sched,smoothing,sp_reg,stoch_norm,warmup_epochs,warmup_lr,weight_decay,opt_betas,data_augmentation,auto_augment
74417154365539438,False,128,0.1,1.0,2.0,0.5,20.0,0.1,0.01,0.4,0.75,False,0.0005,2.0,1.0,dla46x_c,0.9,adamp,10,0.0,8,2,multistep,0.0,0.0,False,5,0.0,0.01,"(0.9, 0.99)",none,
8461644391739478,False,4,0.001,,4.0,4.0,0.0,0.1,0.0001,0.2,0.65,False,0.001,0.0,1.0,xcit_tiny_24_p8_384_dist,0.8,momentum,10,0.0,8,2,cosine,0.0,0.1,False,10,0.0,0.1,,trivial_augment,
28759971764404954,False,64,0.01,1.0,0.0,1.0,0.0,0.1,0.01,0.4,0.65,True,5e-05,0.2,0.5,dla46x_c,0.95,momentum,2,0.6,8,2,plateau,0.1,0.0001,True,10,0.0,0.0001,,none,
13521192914230212,False,32,0.0,10.0,0.5,4.0,20.0,0.1,0.1,0.4,0.65,False,0.0005,0.0,0.0,tf_efficientnet_b4_ns,0.9,adamp,10,0.6,8,2,multistep,0.0,0.0001,False,0,0.0,1e-05,"(0.9, 0.999)",trivial_augment,
63905311029357793,True,2,0.1,1.0,4.0,0.25,20.0,0.5,0.01,0.4,0.65,False,0.01,4.0,0.25,dla46x_c,0.9,adamw,10,0.2,8,2,multistep,0.05,0.1,True,10,0.0,0.0,"(0.0, 0.99)",trivial_augment,
54297691847189142,False,16,0.001,10.0,0.5,0.0,10.0,0.5,0.1,0.2,,False,0.005,8.0,0.75,tf_efficientnet_b4_ns,0.9,adamp,10,0.4,8,2,step,0.0,0.1,True,5,0.0,1e-05,"(0.0, 0.99)",trivial_augment,
10751318177802840,False,2,0.0,1.0,0.0,2.0,0.0,0.1,0.0,0.4,0.75,False,0.005,0.4,0.0,mobilevit_xxs,0.9,adamw,2,0.2,8,2,plateau,0.05,0.0001,True,10,1e-05,0.01,"(0.0, 0.99)",none,
2095752074071824,False,2,0.01,1.0,4.0,4.0,0.0,0.1,0.001,0.2,,False,0.001,0.4,1.0,xcit_nano_12_p8_384_dist,0.9,sgd,10,0.4,9,2,cosine,0.1,0.1,True,5,1e-06,0.01,,random_augment,
12036959649301549,True,128,0.001,,0.0,0.5,0.0,0.1,0.0,0.2,,False,0.0001,2.0,1.0,edgenext_xx_small,0.9,sgd,5,0.8,8,2,plateau,0.0,0.001,False,10,1e-05,0.001,,trivial_augment,
73250252917990418,False,4,0.001,,4.0,0.1,0.0,0.1,0.001,0.1,,True,0.001,0.0,1.0,deit3_small_patch16_384_in21ft1k,0.9,adamp,10,0.4,8,2,cosine,0.05,0.001,False,10,0.0,0.1,"(0.0, 0.999)",none,
19964116045046486,False,4,0.01,,4.0,1.0,0.0,0.1,0.001,0.4,0.65,True,0.01,2.0,0.75,edgenext_xx_small,0.9,sgd,10,0.4,8,2,cosine,0.1,0.0,False,5,1e-05,0.001,,auto_augment,original
33478475627282520,False,8,0.0001,1.0,0.0,4.0,10.0,0.1,0.01,0.3,0.75,False,1e-05,0.2,0.75,xcit_small_12_p8_384_dist,0.9,sgd,10,0.2,17,2,step,0.05,0.0001,False,5,1e-05,0.1,,random_augment,
