,num_samples,num_classes
74417154365539438,2496,104
28759971764404954,2496,104
10466724769439820,2496,104
20056787023477519,2496,104
115104759908005613,2496,104
64133780157014584,2496,104
160971987117537173,2496,104
30537381878934033,2496,104
26525064251448383,2496,104
136598468157528704,2496,104
25854900687589727,2496,104
230815779065893918,2496,104
159623229000579362,2496,104
4876459398619965,2496,104
21320467304308384,2496,104
249575201260931903,2496,104
133469538741729908,2496,104
18321968699939123,2496,104
26286866932884986,2496,104
10771417248540729,2496,104
29781957264303211,2496,104
18128572812746170,2496,104
37206451381390414,2496,104
27915224708756384,2496,104
3998595355222938,2496,104
10985994580617832,2496,104
60827396679211467,2496,104
10451819365195124,2496,104
59168585309233937,2496,104
100331815210533929,2496,104
14914819499142170,2496,104
5615076545915997,2496,104
56780812839078763,2496,104
12890785184390445,2496,104
24161395732694480,2496,104
54490037252265202,2496,104
185408107141734766,2496,104
11066533549996644,2496,104
32566008509637430,2496,104
35442884782826888,2496,104
124245371217388237,2496,104
12488818352665946,2496,104
5740204790827782,2496,104
28575500196238575,2496,104
164300694164752914,2496,104
10687808780603921,2496,104
31601559459385009,2496,104
158484491973204378,2496,104
17908146740906904,2496,104
2496832257572248,2496,104
17882968666831371,2496,104
4231307696917272,2496,104
18976363741594941,2496,104
22794870876753158,2496,104
19723807199798384,2496,104
69379870661401616,2496,104
110160985450112161,2496,104
35074049819854905,2496,104
393282801106172301,2496,104
14220405614979374,2496,104
61566388466679561,2496,104
61636710253376402,2496,104
17938310511920627,2496,104
23569656767324282,2496,104
109219417352696692,2496,104
17498250578583777,2496,104
69861780323044820,2496,104
13893224439944517,2496,104
16865868251432975,2496,104
100767354297266771,2496,104
2301126577242484,2496,104
35742668139265663,2496,104
31246682523175679,2496,104
18030222551635562,2496,104
12303888494291068,2496,104
20484834509020884,2496,104
28706016263605017,2496,104
62155014418477634,2496,104
29251458425747079,2496,104
111672049410730848,2496,104
4902336145113741,2496,104
39179115091214574,2496,104
79328810623029365,2496,104
85381825112735442,2496,104
2305010686073317,2496,104
27801859085856806,2496,104
107264761874754850,2496,104
260597582911927473,2496,104
23349779942391013,2496,104
349908747683025112,2496,104
116434357850240339,2496,104
78101105918770848,2496,104
159633631190849266,2496,104
6134183473259567,2496,104
17984789724444314,2496,104
27390144816558733,2496,104
3397350195080770,2496,104
11351485079518451,2496,104
52119578526468310,2496,104
122889923449993292,2496,104
7508268857642585,2496,104
8012960062302586,2496,104
61382348161520004,2496,104
1821183924088954,2496,104
299564071232560340,2496,104
19193280078810372,2496,104
137043468708846905,2496,104
1508125814205816,2496,104
13361693758170482,2496,104
23847152668275525,2496,104
6851536339470133,2496,104
100410897578293962,2496,104
28383081524093936,2496,104
24791302020740771,2496,104
110286288720169554,2496,104
41256581019856814,2496,104
17229780853191674,2496,104
368182295747402215,2496,104
6605036176126274,2496,104
54559343187730696,2496,104
28344386412610416,2496,104
25170544161848439,2496,104
25150213991581187,2496,104
54468040070724916,2496,104
67020985413993909,2496,104
11650548663108608,2496,104
6470864402896536,2496,104
11391366464607887,2496,104
10097053711253041,2496,104
29951703378918408,2496,104
43902643295094218,2496,104
100317808712675780,2496,104
13480055939944287,2496,104
89258552619889685,2496,104
59063694356413103,2496,104
52338924286027367,2496,104
188575384641272179,2496,104
5342367012399691,2496,104
24996711311943010,2496,104
65443262689596816,2496,104
89243381137742121,2496,104
178963362041965679,2496,104
27431434617958006,2496,104
215552217406152,2496,104
100551476461653760,2496,104
7742297627989142,2496,104
40035548956079277,2496,104
1324271334175674,2496,104
14755967918420205,2496,104
39333106151192525,2496,104
20014036825385792,2496,104
73562257556220239,2496,104
10432365253098979,2496,104
7486102911512216,2496,104
122140801052186309,2496,104
47323236009198489,2496,104
4784244292657924,2496,104
15012351323861923,2496,104
131659338478108575,2496,104
3186562643324469,2496,104
20152717345129365,2496,104
10148643603689772,2496,104
56800470072408573,2496,104
9558434797547477,2496,104
39291991047148084,2496,104
5882202220140826,2496,104
28029397463035542,2496,104
5341514360028914,2496,104
89229247723573819,2496,104
14752456475336287,2496,104
103461602493818208,2496,104
16321050028941399,2496,104
93693097655308815,2496,104
289546553593770465,2496,104
169941877191298500,2496,104
19896665611691235,2496,104
245410240096058262,2496,104
56569666136066478,2496,104
265948607206135224,2496,104
190785490453386775,2496,104
223755787079402264,2496,104
4327122027709541,2496,104
37221619196782402,2496,104
32487821689055123,2496,104
87333317941658930,2496,104
85976953691781057,2496,104
106874502997006857,2496,104
3225161718947055,2496,104
20974992904042525,2496,104
20868745388582947,2496,104
30421586589240607,2496,104
144279267541552778,2496,104
75531449621166318,2496,104
25339746874529531,2496,104
27759044008686080,2496,104
5597707965988177,2496,104
